feature,gain,horizon,gain_percentage,rank
turbidity_change_24h,1099.49462890625,24h,9.3434043148941,1
f128,413.1904296875,24h,3.5112543000374354,2
f148,345.190673828125,24h,2.933398623798017,3
f150,276.40875244140625,24h,2.3488961767868166,4
month_sin,264.81170654296875,24h,2.2503455464892625,5
f218,236.3284454345703,24h,2.008297411149843,6
f137,229.7236328125,24h,1.9521703204577239,7
month_cos,229.4709930419922,24h,1.9500234109050825,8
sp_conductance_change_3h,222.4420623779297,24h,1.8902922040677888,9
sp_conductance_change_24h,203.13706970214844,24h,1.7262401504026197,10
f149,199.00851440429688,24h,1.6911560668881793,11
f191,198.57626342773438,24h,1.6874828378124276,12
f219,191.06710815429688,24h,1.623670726376431,13
turbidity,186.93508911132812,24h,1.5885572082742967,14
turbidity_rolling_mean_24h,153.3057403564453,24h,1.3027780930311221,15
do_saturation_lag_12h,150.82891845703125,24h,1.281730288145317,16
sp_conductance_rolling_max_6h,150.59584045410156,24h,1.2797496126958638,17
sp_conductance_change_6h,145.4339141845703,24h,1.2358840376289975,18
do_saturation_rolling_mean_6h,138.2276153564453,24h,1.1746455724333111,19
f147,131.50425720214844,24h,1.117511092702449,20
